Genotype,CobDiameter,CobWeight,DaystoSilk,DaysToTassel,EarDiameter,EarHeight,EarLength,EarRankNumber,EarRowNumber,EarWeight,GDDAnthesis.SilkingInterval,GDDDaystoSilk,GDDDaystoTassel,GerminationCount,LeafLength,LeafWidth,MainSpikeLength,MiddleLeafAngle,NIROil,NIRProtein,NIRStarch,NumberofTilleringPlants,PlantHeight,RowQuality,SecondaryBranchNumber,SeedSetLength,SouthernLeafBlight,Spikelets.MainSpike,Spikelets.PrimaryBranch,StandCount,TasselBranchLength,TasselLength,TasselPrimaryBranches,TilleringIndex,TotalKernelVolume,UpperLeafAngle,X20KernelWeight
CI90C,24.87596994,13.50778339,86.20476401,83.25245797,33.09963036,59.49684734,120.5251442,23.09306827,15.08856057,52.33973213,40.18474648,983.7095309,946.7818008,7.583445227,719.5469959,78.2725196,213.7049383,65.475446,4.487658083,13.71599471,67.47334145,1.242602085,115.652734,2.338457601,3.212559334,104.0596794,7.541313972,26.80763543,18.41563593,7.507399764,254.1729501,348.8092126,13.26524433,0.641978888,55.61417623,58.51643873,3.663678811
CI91B,24.57536473,12.41460908,79.42152444,77.77274039,36.87187106,54.26295964,137.7629616,21.35932663,12.62518224,59.23199667,27.89332568,934.164909,909.9651734,6.419080112,615.6720543,85.66061114,238.6114393,57.35666303,4.239813505,13.10309188,67.95795397,1.242602085,114.7084648,2.158135118,0.38253514,116.1741377,5.797903442,24.72264158,17.87416859,6.904848722,150.8465844,310.9341462,8.225466887,0.530819395,57.42742396,57.00454773,4.084231882
CM105,25.65275106,15.44166618,64.63135876,63.14710155,35.95612489,42.84356831,126.5445982,20.53577684,13.65345411,54.07297023,26.98785743,752.5515001,717.9547742,7.028985648,661.132012,64.47994159,207.4320287,62.95391418,3.548641215,13.30547566,68.55717061,1.242602085,110.9313878,2.067973876,0.814778072,105.0565776,4.926198177,22.40598174,15.16683185,8.059851512,151.7778127,253.6670864,4.207484541,0.530819395,50.95175253,33.4881469,4.11291556
CM174,26.99839112,15.10671549,65.54281506,64.15029953,36.38523428,41.17824041,123.2477846,20.90248962,14.11285839,63.3315956,31.8684095,779.0496658,736.7029602,7.527999269,623.6943583,62.16035411,205.0965703,44.54117833,3.744014678,13.9633908,68.27846238,1.242602085,101.2526281,2.158135118,0.432066004,105.012606,4.926198177,22.17431576,18.68636961,7.288290294,147.2038168,251.1133402,4.855842313,0.530819395,62.45737654,20.28170059,5.035296055
CM37,22.73617314,10.49424965,59.49461721,59.0872305,29.32261877,30.16319797,128.9566161,19.17752162,12.00010816,42.16368796,10.89089067,647.8112022,643.0154122,6.862647775,509.6291614,57.08768005,180.8341248,56.47060496,NA,NA,NA,1.242602085,90.87844234,2.248098813,0.925363943,110.5273408,3.517991819,19.16265797,13.00096246,6.904848722,163.8892978,287.7101322,13.72607833,0.542887956,53.20546749,49.19667253,4.112524391
CM7,23.35959271,10.20730662,63.92743916,63.98749705,31.29816343,29.04513712,101.9333432,18.25926353,12.10341794,37.36490889,3.803097495,713.7729786,731.0183988,5.254714997,533.020941,65.36196373,252.124734,46.72396612,3.758818134,15.21611989,67.4638539,1.242602085,94.40667609,2.067973876,0.893997417,92.22833386,4.926198177,18.699326,12.73022879,7.87530103,195.2772195,327.5122902,4.676918865,0.530819395,58.282824,26.40270161,4.5420225
CML10,23.33001701,16.55563651,93.17178458,88.49380561,37.14037476,98.76691075,143.4580112,23.37664227,12.17468886,71.13029413,48.95878156,1153.585786,1101.854628,5.199269039,864.2622042,75.60356205,226.7912569,NA,4.663864809,13.7202953,64.51150896,1.242602085,174.9607466,2.24829636,3.122266112,125.9959777,7.759240288,20.0893219,17.87416859,6.028410843,250.0720872,394.7905719,16.20722776,0.530819395,63.57524387,71.21449178,5.282919457
CML103,26.60495062,17.39344073,80.73497322,80.97322316,39.09442147,96.60986917,142.5875716,22.82091987,13.32382333,79.065511,1.273199258,922.3620937,944.4342311,6.918093732,800.4493242,104.1717194,262.8076749,67.43803359,4.2524091,14.17276408,68.02748492,1.242602085,154.3677728,2.158135118,1.986086915,124.1795531,7.323387655,24.72264158,13.27169613,7.507399764,246.6657447,365.7410369,12.54955054,0.542887956,73.65198577,57.36700801,4.995392038
CML108,31.36714155,19.73412498,85.28927277,84.82621534,39.83884024,64.49283105,128.6154981,18.99688061,16.73273967,65.83799979,9.100097799,1002.660039,1005.00221,6.640863943,834.8741449,94.6710079,286.5731092,58.27929149,4.846640468,12.71284338,65.90170212,1.242602085,144.6890131,2.338457601,1.929664006,108.23672,6.887535023,23.79597764,18.14490226,8.164728173,228.6840666,363.9972033,7.038403698,0.542887956,59.86688085,64.30430351,4.122367817
CML11,22.87391845,14.56266305,92.5784295,90.08642914,33.26489713,99.70262099,141.9616322,21.26705294,10.97272015,51.99135298,27.53356813,1061.015217,1059.204487,6.640863943,867.2129096,91.47627726,230.985085,73.26779207,4.80260425,14.07301844,66.76635713,1.242602085,165.935071,1.977812634,4.599466931,115.9118445,7.759240288,22.63764772,13.81316348,7.726509233,230.4616819,389.7450336,17.00354818,0.542887956,58.46218564,64.95074089,4.260048137
CML14,23.67462312,14.07895034,96.75713916,93.90016979,38.88832984,75.63259509,121.1159738,21.44559865,13.96760744,71.64599428,32.04784251,1145.574191,1118.329422,6.030958407,839.5535483,99.02752992,238.6077094,57.3187467,4.881228889,15.66204722,63.82557511,1.242602085,137.7019185,2.24829636,3.044549939,107.5271075,7.831882393,20.78431985,11.10582674,8.21950554,243.0694091,364.7264037,16.15249033,0.542887956,64.30568076,58.14972268,4.565233142
CML154Q,32.1303903,29.05862402,82.72481997,81.91517173,40.4737369,74.00899049,154.2307598,21.41463754,14.26054212,85.46021687,16.21186757,969.4448345,964.6755196,6.529972028,816.981771,76.34634796,317.7899848,70.05481705,3.966427253,12.97064581,67.16959848,1.242602085,132.6495803,2.158135118,0.814778072,130.9475196,8.122450815,25.8809715,14.35463083,8.109950805,256.9014691,389.0997963,13.44416778,0.56787256,61.10646336,58.67863624,4.17812593
CML157Q,27.90889805,17.30565846,85.45192632,84.17500539,40.09732545,108.0292605,124.0394256,20.60669988,14.75979323,77.80294389,18.63125296,990.3813767,987.9006376,5.809174575,912.7133357,99.20185642,194.5400921,70.70901291,4.74351012,12.41711402,65.54989314,1.242602085,173.7252923,2.158135118,4.165775666,109.9099764,7.541313972,27.03930142,16.79123389,8.274282908,217.8950598,340.9661893,18.62879946,0.542887956,62.93612388,73.74659323,4.733384477
CML158Q,27.87552635,18.06648319,89.14638649,87.634411,38.56214244,87.59388338,122.618019,19.91561474,14.49033907,66.00495689,33.46200337,1050.03362,1020.616564,5.476498828,838.5685328,108.7898138,216.2634161,69.7614761,4.164402821,13.06383836,65.69371185,1.242602085,148.5981169,2.158135118,4.71687884,105.6614464,8.122450815,26.57596945,14.89609818,7.233512926,205.1695645,356.1901777,19.94279276,0.679032053,68.32308365,62.80592666,3.731203491
CML218,26.80782398,17.77889536,86.96221853,87.20828943,35.62954669,74.72270245,127.0789374,20.81152555,12.50992411,57.10666372,-0.05769197,988.3581194,1006.027847,6.585417985,892.5777172,105.7595095,188.9520972,60.90089534,4.577178462,14.03922158,64.29960694,1.242602085,155.0759748,2.24829636,3.293900166,113.1342136,7.541313972,21.94264977,14.6253645,7.945618703,186.634604,340.7722515,17.23206776,0.641978888,58.23379145,67.51555891,4.317474777
CML220,29.44070808,15.68813602,81.31897797,79.81189772,38.20876598,44.7468002,128.7303008,20.50686895,13.4195932,64.24903756,19.92406149,897.2701994,891.1550812,3.702228177,723.3227808,77.02083248,164.308344,67.98935995,3.789982549,15.01869391,66.90992762,2.00666444,105.9739743,2.158135118,3.985413307,116.7780591,7.541313972,23.33264568,14.08389715,6.740516619,174.2430299,299.87472,20.12397647,0.56787256,59.92305942,55.13256929,5.442597249
CML228,22.60744515,13.49129209,89.17789125,90.46463263,33.92037054,81.39144523,127.926841,20.73416153,12.89185629,60.68736607,12.91374248,1036.459756,1051.45617,7.638891185,919.8030517,94.95802439,234.3585389,68.27026264,4.030990748,13.51846414,68.55764506,1.242602085,147.2974663,2.338457601,5.037651167,109.7839145,7.686598182,23.79597764,16.24976654,8.164728173,232.2804022,361.7015522,10.04462228,0.530819395,59.55784097,67.01020922,4.228359974
CML238,29.14125281,17.97236477,90.48908756,88.54537873,40.94312675,64.39844641,129.3786773,20.33793918,15.11680747,63.81041599,24.91402937,1044.16325,1035.114993,4.14579584,778.4239508,98.11433879,219.7864923,60.24187908,4.28737291,13.96260654,66.89104359,1.242602085,130.6083757,2.24829636,6.563433293,108.5151993,7.613956077,19.62598993,10.83509307,7.343067661,219.554907,351.0332223,29.03052794,0.702963202,62.0624597,65.93851963,4.211462297
CML247,25.53528249,17.96451583,93.62310046,91.95788935,37.64384766,79.48078217,144.6879936,21.93986823,12.33271565,68.41794307,15.56676941,1078.487676,1073.452731,3.979457966,868.7123303,88.86646363,242.776767,60.24187908,3.81584107,13.76815083,64.6408576,1.242602085,141.1480035,2.24829636,1.321106175,110.3907518,8.19509292,26.79509329,14.74140267,6.30229768,247.6710047,333.4111849,11.61140707,0.542887956,NA,70.37991944,4.40969366
CML254,22.60427875,13.32152894,104.4548128,101.4945925,36.03014242,92.56761548,118.045075,23.37664227,11.45752143,68.03609322,8.306726539,1145.391511,1190.213553,6.47452607,946.9362553,85.92343923,216.5420989,59.47976993,4.17561393,13.40383511,68.45364583,1.242602085,160.9045769,2.067973876,2.971709658,113.8955973,7.323387655,21.36778222,15.85512614,8.164728173,209.2365026,326.6425686,10.70719717,0.56787256,61.3839332,69.83291811,4.05260006
CML258,26.99733837,15.8125043,97.99372605,95.98447191,36.50595628,93.00516227,134.8033629,20.88940249,13.32590827,NA,34.34530327,1156.280576,1120.722567,4.034903924,895.9536502,94.43054192,242.1521666,64.96979446,3.762890531,13.20154074,67.64330057,1.242602085,153.7170814,2.24829636,2.971709658,113.8617129,7.831882393,21.36778222,11.64729409,7.343067661,268.8971129,389.9070148,17.35716774,0.604925724,56.63781352,64.00325709,4.820188805
CML261,26.98783918,16.39448107,93.80385317,92.23493765,37.70679186,100.6727222,128.5648513,20.96742232,14.37050311,71.18144639,43.13091619,1094.777523,1084.044013,5.476498828,872.510752,90.84429383,263.6025857,NA,4.997398503,14.42601751,66.68219982,1.242602085,168.152089,2.158135118,5.274321807,114.6545236,7.686598182,22.63764772,15.16683185,8.00039607,211.5323121,384.0924186,19.31617468,0.622925579,63.65110403,65.6087817,4.768799373
CML264,26.13528591,15.48709503,94.5563554,98.23906616,35.3048567,62.61358671,124.6729172,20.12435828,14.1468993,59.51930523,12.62202407,1080.245638,1128.51271,4.866593292,844.1992592,92.58551931,234.9536611,NA,4.224516058,15.00349558,64.41021523,1.242602085,148.7653396,2.158135118,3.358136644,102.4617739,8.049808709,18.00432805,10.83509307,6.685739252,262.0131963,376.6327783,17.06161349,0.604925724,55.90565652,58.14972268,4.877206989
CML277,26.77338586,19.06326349,89.53316849,89.96306503,38.2268548,87.39199456,114.9772995,19.40882542,12.26735016,63.52815192,20.88503956,1067.434305,1065.026974,5.143823081,797.5521765,84.19545055,283.0268606,73.69868271,3.885536544,12.94381452,67.17273937,1.242602085,165.6436681,2.338457601,1.263218674,106.3846278,7.541313972,20.78431985,13.81316348,7.562177131,240.9437278,345.3683425,6.191386465,0.662944391,62.87120493,67.09605616,5.045684241
CML281,23.4136099,13.5319396,104.0995356,97.93470687,40.44431232,78.91947237,104.8015296,22.97010677,13.60902372,77.56365351,9.792897127,1063.056097,1068.508386,5.69828266,844.7026298,100.8539014,206.7333736,67.71480673,4.228356484,14.04648705,66.54363883,1.242602085,139.6609117,2.067973876,3.044549939,110.8012252,7.396029761,NA,NA,7.616954498,208.2126177,312.7519617,17.52126782,0.604925724,69.41873899,65.93851963,4.726346396
CML287,28.510243,16.73783302,93.02795079,90.10147327,39.03041314,94.05116655,142.813746,23.17337452,14.32619115,85.41518831,37.80661745,1095.610636,1088.895011,5.42105287,863.2277396,91.46727491,231.8581847,66.17932746,3.620708831,14.51306701,66.05349153,1.242602085,174.9871016,2.428618843,3.044549939,129.7731337,7.468671866,16.75410481,9.776272236,7.945618703,219.0944627,336.8232283,13.98790487,0.530819395,67.95786521,65.93851963,4.960692948
CML311,27.80565328,17.74513508,92.2520484,89.47912186,36.53154336,77.82658506,133.1708616,21.54723252,14.31388499,61.29720153,27.69444058,1088.270301,1067.046405,4.500722048,818.2489078,87.13834722,247.8012334,54.42486434,4.847000872,11.8293074,64.51150896,1.242602085,160.315598,2.338457601,3.869517157,116.5019099,7.831882393,17.3093301,10.29362572,6.028410843,229.0378977,352.1852359,15.59374375,0.622925579,57.73174875,63.32803425,3.935426784
CML314,27.58187209,18.67932317,88.98191343,87.57353649,39.49249526,91.37598147,134.267917,21.12560431,13.96602058,73.06207995,36.75064259,1018.508267,1004.235376,7.057536356,902.3955471,91.12472866,202.1935973,70.70901291,4.833126928,15.56719282,66.86572332,1.242602085,174.6695615,2.24829636,4.165775666,116.568076,7.686598182,19.39432395,13.00096246,8.055173438,241.9628443,367.2631616,16.54550753,0.542887956,69.71043039,68.35845961,5.061268172
CML321,26.77735203,18.1812145,90.48057448,92.3576125,38.16822629,87.79870731,135.1184674,21.39965609,14.84506129,62.06505898,10.21874292,1062.563246,1056.347575,7.472553311,975.4657877,102.2816246,248.9074637,67.98935995,5.345920425,14.27032972,65.24785751,1.242602085,179.616739,2.158135118,0.678273664,116.650497,6.742250812,19.86019581,20.68126116,7.507399764,235.3234554,339.0372624,9.01740709,0.542887956,61.77021375,62.04412116,4.008020536
CML322,26.25514021,16.1100957,83.51537661,81.18467761,37.81013224,72.58156657,125.4165164,23.04985992,14.91676903,68.11516052,26.82977789,971.729334,953.6382463,7.805229058,764.9045636,95.26968287,250.0955144,54.3541163,4.842796286,14.48767709,65.51134519,1.242602085,135.7184553,1.977812634,0.661256624,106.3439143,6.596966601,26.80763543,19.49857063,7.890841336,197.3223061,342.1122157,6.108306443,0.530819395,63.19005426,48.728312,3.795173812
CML323,27.12743101,20.4813265,83.73917993,82.22137555,37.87520945,57.99118433,133.1491982,20.82481007,12.00247855,61.94983076,25.53785271,972.806625,960.9179154,7.7497831,889.5063629,83.68662367,296.8885787,68.74642532,4.765446692,14.41115203,67.18780493,1.242602085,117.8403118,2.158135118,2.208385489,115.3900151,6.596966601,19.85765592,12.73022879,7.507399764,241.1329207,383.5381869,6.346871039,0.582906768,61.31153688,69.58283579,4.188577574
CML328,24.91712331,10.30532991,85.62742414,84.75267751,33.85108869,88.75903763,105.4016088,18.66727562,13.4146001,40.14104488,14.95683448,968.5167533,973.7507989,6.086404365,698.5614546,84.02500518,213.8054895,65.33118572,5.556619674,15.15211096,64.49406006,1.242602085,141.1480035,2.24829636,3.39181049,97.66542651,7.178103445,28.19763134,14.60240726,6.904848722,206.1748246,324.2924111,19.05043579,0.679032053,54.10147596,62.80592666,3.305607763
CML331,25.81590813,15.72346988,96.40186192,86.89735882,39.41402141,93.05229076,128.312277,22.97010677,13.61704494,94.98142611,32.85098963,1048.617721,988.2995609,6.030958407,902.4154464,97.98157093,300.2342613,NA,4.199332744,13.39361552,68.57842562,1.242602085,174.6577295,2.158135118,3.044549939,115.5832097,8.122450815,18.23599403,11.10582674,8.109950805,262.4342932,413.7164613,13.45172798,0.56787256,77.81876323,60.00307163,4.7401265
CML332,25.79504024,15.2214913,88.1989805,85.61057801,37.18932324,71.45996441,123.7297841,20.92919339,13.79133519,60.88265854,37.94951517,1006.828067,1004.076567,6.086404365,840.5909069,95.96985638,286.5074222,60.24187908,4.536964503,13.86653959,65.27398954,1.242602085,128.81192,2.067973876,4.438157356,102.7893529,7.613956077,22.17431576,18.68636961,8.00039607,266.0306288,403.7150367,13.67484645,0.582906768,71.24483122,62.54736132,4.489575479
CML333,25.53898375,14.36724056,85.481685,83.60009646,33.53539569,93.51711735,117.0931058,20.0509785,11.78615668,54.09812698,39.26252032,1006.507112,989.0740416,5.975512449,798.7953902,84.23694474,171.073726,70.70901291,5.17792651,14.14558656,64.47169345,1.242602085,155.7841767,2.067973876,6.127495543,103.2644443,7.323387655,23.56431166,13.81316348,7.836063968,192.9973517,301.5776275,21.91321095,0.604925724,54.47168311,67.90944848,4.079286973
CML341,27.73142628,18.22552811,87.28627313,89.00721784,39.49653652,87.43870366,122.6190932,22.80754481,12.58262579,51.80794819,12.59938254,1004.469448,1036.029393,6.807201817,902.5348423,102.5140599,265.5247926,69.72355977,4.181051554,14.71967751,63.58663904,1.242602085,159.2888744,2.067973876,1.820168727,109.4776037,6.233756074,19.62598993,13.54242981,7.890841336,278.5207191,364.2809004,6.565024674,0.542887956,61.3839332,70.20970898,4.210074216
CML38,29.13274483,18.60398971,90.43476012,87.72977553,35.16567279,77.57725991,126.6978498,20.99374581,14.88836647,55.9768381,37.29762404,1061.747585,1046.472597,5.531944786,811.555229,101.4681009,225.1502157,73.97999224,5.367708213,15.56692259,62.52779198,1.242602085,133.691143,2.067973876,3.205859514,106.0666695,7.178103445,26.80763543,13.54242981,7.452622396,210.5748118,346.9338104,14.97198407,0.622925579,58.1962937,73.49357226,3.424693406
CML45,23.66818824,14.42235928,101.7310206,98.52802114,36.22839819,80.76754354,130.6949638,23.47827614,12.89185629,66.43742276,16.06504613,1184.719489,1179.378122,5.69828266,940.0316736,108.6678553,242.1521666,NA,5.315197018,13.70910099,66.99835893,1.242602085,155.3561022,2.158135118,3.358136644,115.5033227,7.468671866,16.75410481,9.776272236,7.452622396,248.2453632,345.9890622,12.62829978,0.56787256,59.19262253,64.00325709,4.521293164
CML5,24.11148387,16.03487011,93.02795079,93.05764247,39.79369788,86.72607736,130.8678293,19.71782278,12.53327258,73.4122673,-0.183973452,1078.086822,1096.047482,5.254714997,963.192298,88.59485688,278.4880205,67.71480673,NA,NA,NA,1.242602085,173.9989853,2.158135118,1.768118039,117.8300309,8.122450815,21.24765182,14.08389715,7.288290294,253.0284923,356.6588607,8.22832944,0.662944391,62.11437009,64.20735418,6.205659005
CML52,22.93127098,13.37448876,95.09917868,95.24089223,31.29485312,114.4334657,130.115873,22.42016329,10.69173354,64.61792131,22.10565863,1154.576327,1133.817404,6.751755859,883.7492943,87.54034689,214.4309173,NA,4.632741149,14.09959147,66.9644616,1.242602085,183.1259208,2.24829636,3.601992906,111.2000672,8.049808709,17.54099608,9.752158374,7.890841336,212.3622357,335.6559531,15.01184243,0.622925579,61.77021375,64.00325709,4.613042051
CML61,28.87049107,20.33197526,106.6377325,102.2532726,41.23142497,81.79659922,148.4195991,21.31784142,13.32590827,78.43419432,31.20602156,1090.060016,1070.142376,3.813120093,925.0305642,102.7902875,254.3474133,NA,4.10930328,14.40333769,64.87519217,1.242602085,164.3003262,2.248098813,2.380971175,115.5025084,7.831882393,16.75410481,9.776272236,7.178735559,238.0189538,391.0837028,15.79236301,0.542887956,66.29280509,67.88571887,5.693001571
CML69,26.83337198,16.66135244,87.77222005,87.43105513,35.86579876,74.97351795,124.595662,19.25797194,11.95753957,53.80896559,22.03278197,1034.909831,1021.810273,5.365606913,954.338292,109.2474419,240.8223332,67.10330187,4.677914973,13.96542345,66.3494004,1.242602085,150.8267632,2.158135118,2.333585524,105.9557314,7.323387655,29.58762724,16.82985419,7.178735559,242.6914631,323.2642848,10.62750029,0.56787256,53.93180794,72.02185108,4.792605594
CML77,29.71771138,19.056792,79.45473712,82.69902302,41.3843762,65.44444699,130.6719743,21.37898686,15.51296136,68.90518286,12.96778175,954.6288057,965.3269248,5.975512449,756.9849883,92.74483626,234.8230146,59.09086285,4.632741149,14.24719787,64.93702539,1.242602085,137.3709265,2.067973876,0.388481073,111.5869282,7.178103445,21.24765182,16.79123389,8.21950554,193.3597577,324.8193004,12.60919169,0.604925724,52.27049662,62.60150587,4.40368251
CML91,24.4961257,16.77543375,85.92841369,84.22927289,35.16977747,71.39204664,134.1792474,22.20988794,11.37026469,59.75303016,30.5572866,1014.030016,986.599544,6.030958407,760.1314863,91.83380913,244.7196715,60.89607494,4.546936703,14.0501615,67.33572481,1.242602085,148.4660901,2.067973876,2.333585524,111.3597945,6.742250812,22.40598174,14.6253645,7.671731866,258.7366528,355.5172379,8.19370372,0.622925579,64.53371745,72.65909841,5.096423223
CML92,28.62641032,19.01402641,84.06662632,85.35076927,39.73229155,81.28370066,142.4291418,22.29282086,14.52149479,78.32433015,14.97080396,977.4108799,978.1334233,5.920066491,844.1536472,86.08132355,197.6068998,70.64753418,4.5917203,13.58802413,66.60074681,1.497289536,164.5186672,2.24829636,2.765828456,117.305841,7.831882393,26.34430347,15.97903287,7.781286601,221.2147542,315.8036389,13.74256525,0.530819395,69.22774933,76.04677047,5.327760035
CMV3,23.78271219,7.886563557,62.62621072,60.83998231,31.16934806,37.62925232,98.0462691,18.62117778,13.01733494,36.70493729,12.60679979,684.6497658,671.4222329,8.304242679,519.8270614,57.91364348,246.3768474,46.11881073,4.632486686,14.82033298,67.45724469,1.242602085,99.32137752,2.24829636,0.209520116,91.77572501,3.108412614,22.40598174,14.08389715,7.014403457,185.9921427,311.5299811,7.360770573,0.542887956,48.09888742,28.74518468,3.587933409
CO106,24.37854711,11.36503151,62.30090361,60.78571481,36.09939801,37.4908598,94.17038266,21.3652924,13.41324398,51.59590537,19.83420046,699.401506,677.1920244,8.02701289,515.4512739,65.93460935,174.9607746,54.69848881,3.176397871,13.3920317,68.75055593,1.242602085,103.0076456,2.067973876,1.093499556,89.90602127,4.951519034,24.4909756,16.79123389,7.343067661,179.9952152,248.2078183,9.746416536,0.542887956,57.3249763,39.24964302,3.841299395
CO125,19.95469748,10.08111462,63.71056775,62.57654216,29.52764351,35.46854474,89.30193355,18.89545623,11.86632612,39.69826416,25.75576005,746.1545032,706.3512783,6.97353969,559.0427385,65.5188948,240.2225445,57.2286091,4.743859038,15.491861,66.18881495,1.242602085,111.875657,2.158135118,1.093499556,84.92844206,4.780913967,26.34430347,14.08389715,7.562177131,185.9076742,284.0146505,5.511894952,0.582906768,53.93590438,63.46825532,3.803148362
CO255,25.10529811,12.04884275,60.83702161,60.08023737,37.40948245,48.79116796,127.1768105,24.51594252,12.83400505,73.03374458,12.69359789,682.4500091,669.1487966,9.080486089,546.1962919,66.48122563,181.6497016,55.00831216,4.400395382,16.73055391,63.86005675,1.242602085,124.8593591,2.158135118,0.507570431,112.8527112,5.770677443,21.47931781,13.27169613,8.109950805,128.7326926,233.1036712,4.37871312,0.542887956,77.85457724,36.64945737,4.362398506
D940Y,24.71125271,15.15247407,89.51826521,87.11409032,31.91462302,75.19851042,134.2288295,21.71684641,11.67338144,49.82395602,38.04329817,1037.468653,1012.779237,4.811147334,884.2314981,97.69041209,256.2044017,60.89607494,4.770072089,15.06050057,62.29189151,1.242602085,146.105417,2.24829636,3.205859514,115.8671397,7.541313972,21.71098379,13.54242981,7.288290294,262.5866259,382.3605043,10.86931213,0.604925724,55.91750168,73.47026993,4.026344093
DE_2,31.05060281,23.51758107,77.02657077,75.30653054,44.18599306,52.06950141,139.6179639,21.8780258,15.30902004,90.5810421,30.31071928,930.5960011,902.9567018,3.813120093,684.1013104,94.84033509,271.4821301,70.04237879,4.106132256,12.56904619,67.79568895,1.242602085,126.4704299,2.518780085,1.426001713,119.4559552,6.161113969,18.46766001,13.00096246,5.973633475,207.7067434,359.3878917,11.01732619,0.530819395,72.14776784,61.05955624,5.340398257
DE_3,28.03139818,20.33764618,78.41121825,76.79874437,40.1369742,66.28356528,128.6783027,19.69989087,14.2410766,79.81323531,22.02005276,910.7109924,891.5754941,5.365606913,754.1709732,87.62569447,214.9036945,64.82125013,4.50678652,12.79949079,66.97417459,1.242602085,135.3169494,2.24829636,2.826132348,117.6666874,7.977166604,23.77992047,13.25643805,7.178735559,192.217701,304.7253624,11.2204826,0.679032053,58.2702133,64.26925185,5.726386359
DE1,28.13430987,22.2470099,79.10354199,77.73249749,42.30415995,66.76079445,155.499164,23.25281945,14.46203042,98.58711279,19.34024,938.0105326,923.8274407,4.589363503,722.7258018,97.32986954,256.3741292,64.82125013,3.829487677,13.64502248,66.34221765,1.242602085,134.1221141,2.24829636,1.372221039,132.5375221,6.887535023,17.3093301,10.83509307,7.397845029,179.718574,345.3971357,12.43942107,0.530819395,72.65474984,58.72523217,5.338573042
DE811,25.52967615,13.07285058,80.13857685,78.74825584,38.85096574,75.67431839,130.0512297,23.25729729,15.2278191,76.95086306,17.07310389,968.9407084,954.9725167,6.086404365,719.9584522,75.86226704,224.0225912,69.40062118,4.188247563,15.72391835,63.46117175,1.242602085,157.9087825,2.24829636,0.994152863,115.3467738,8.049808709,30.74595716,15.97903287,8.00039607,195.6624589,317.7400632,5.682951535,0.582906768,73.39553109,75.7320788,5.272355279
E2558W,20.37030239,12.4848346,81.44776694,79.45373328,33.24880962,64.34914896,152.8386504,29.36329448,11.11286541,80.53097682,46.61549224,968.3763166,929.4226135,7.472553311,818.7150114,99.79878916,263.8333921,64.82125013,4.931554259,13.12724897,69.23495714,1.572903904,139.1654814,2.067973876,1.085972629,135.7175104,5.289408704,22.63764772,14.6253645,8.164728173,234.0983346,383.8309032,11.75433522,0.695762707,70.37706298,61.3568317,4.645580929
EP1,27.12818927,11.56546843,63.76478561,61.92533222,34.0373084,39.51291251,106.8612963,NA,12.49109741,50.21794025,22.60962446,718.9881831,701.8580031,8.636918426,510.7581922,89.64734402,164.2538001,46.11881073,4.547545603,16.23923735,62.29345329,1.242602085,98.89195498,2.067973876,0.868003754,98.17816962,7.178103445,22.63764772,14.35463083,7.233512926,124.8842773,231.5647862,11.13737544,0.604925724,58.282824,33.0096497,4.651706517
F2834T,25.64939824,19.18413583,78.02408063,76.08914856,37.31879537,53.78715167,126.0098236,19.86157546,11.78776855,66.03811683,23.71907051,909.8890861,889.8699524,7.860675016,789.3032553,78.97531195,324.1765256,63.5128584,4.16082296,12.49393004,67.14922575,1.242602085,127.6921668,2.338457601,1.372221039,114.8179198,7.178103445,23.10097969,11.91802776,7.562177131,240.5796383,435.3489692,10.16390458,0.604925724,56.46089928,57.00454773,5.821916308
F44,23.89247246,10.3501822,87.93373911,84.88048283,31.90110455,95.42034924,99.55379344,15.37666392,13.50596764,31.01098751,41.5615607,1044.126428,1016.816681,5.42105287,789.5422143,75.77370233,236.7610614,53.69992043,4.685644375,15.1596189,65.29680916,1.775892665,163.1022633,2.067973876,4.842078874,83.13248506,7.105461339,24.02764363,18.14490226,7.945618703,216.6871902,363.927186,15.59124914,0.645053925,49.69694295,63.95413226,3.804709307
F6,21.90066843,10.61829398,87.96831343,87.18567819,32.13471881,88.70229753,125.5596191,22.04792752,10.49091624,51.89591107,13.50857868,1058.539498,1058.155851,7.139877564,826.8534074,94.23166398,259.4230627,69.40062118,5.123147378,15.65879601,65.94384212,1.242602085,145.3943532,2.158135118,5.789468117,114.5122806,6.512081778,24.02764363,20.31077165,7.507399764,245.1812339,393.1685291,18.39438315,0.582906768,57.36914375,69.62097467,4.285026259
F7,23.68226395,9.668759318,60.02375383,59.7003649,32.34951093,36.43916268,109.6063301,21.28787296,11.0996778,37.54691849,13.08843423,668.074947,656.8018745,6.640863943,545.3479175,56.40281383,255.8774449,46.72396612,4.258518171,15.17990052,64.62007704,1.242602085,84.2384852,1.977812634,0.536056589,104.7682291,2.311082383,22.17431576,13.54242981,7.233512926,184.4214744,294.2248073,1.995336957,0.542887956,54.40044934,46.22354588,3.993605949
